player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr,rank_confidence
soy jamon 4,7825.97,"['TEAM POLAND', 'Team Tidehunter']",38,True,8000.0,0.38
44 .•*¨*•.¸¸♪,7824.92,"['WeLostThisBros', 'Aogiri Tree']",57,True,8000.0,0.57
hk,7821.34,"['Spice Boys', 'New Rebellion', 'Max Retaliate']",57,True,8000.0,0.57
S-10,7818.83,"['Gucci God', '#1 Yami Glazers']",43,True,8000.0,0.43
Roo,7806.87,"['Want Steep Sets?', 'Dark Horse']",93,True,8000.0,0.93
Scarebee,7806.48,['Dark Horse'],35,True,8000.0,0.35
ferociousspud,7806.1,['Dark Horse'],80,True,8000.0,0.8
KingBob,7804.3,"['Dark Horse Storm', 'Dark Horse Vitality', 'Dark Horse']",101,True,8000.0,1.0
Koamaru,7801.09,"['dXo-Heroic - Mantle of Midas', 'Nat 20']",30,True,8000.0,0.3
sTough,7799.22,['Dark Horse'],78,True,8000.0,0.78
Heapin' Honkers,7796.34,"['WeLostThisBros', ""Helmet's On"", 'Aogiri Tree', 'Helmets On']",41,True,8000.0,0.41
Pumpkin(All chat muted),7793.28,"['WeLostThisBros', 'The Whimsical Afrasians']",20,True,8000.0,0.2
raze,7793.27,['Aogiri Tree'],37,True,8000.0,0.37
Naya Of Alara,7787.75,"['Balerion All-Blacks', 'Dark Horse', 'Emotional Damage', 'PSGS']",94,True,8000.0,0.94
Resisting the Desire to end it,7773.22,"['The Whimsical Afrasians', 'Sounding Club', 'Gucci God', 'Aogiri Tree', 'Drip or Drown']",82,True,8000.0,0.82
ooo,7769.76,"['DinoMight', 'Gucci God', 'Drip or Drown', '#1 Yami Glazers']",80,True,7300.0,0.8
Sempiternal,7765.67,"['tainted gluggers', 'mosin on valley']",27,True,8000.0,0.27
HeroesOfNewerth,7763.88,"['WeLostThisBros', 'Gucci God', 'Northern Hog Suckers', '#1 Yami Glazers']",89,True,8000.0,0.89
Chanel N°5,7760.77,"['Spice Boys', 'tainted gluggers', 'mosin on valley']",50,True,8000.0,0.5
Calipsis,7752.99,"['Average Krill Eaters', 'Giga Obese Ovarian Navigators', 'Sunlight Covenant', 'Team Tidehunter']",52,True,8000.0,0.52
LoneWolf,7745.58,"['WAP', 'Baja Blasters']",23,True,8000.0,0.23
Tokamak,7727.63,"['Balerion All-Blacks', 'Drip or Drown']",38,True,8000.0,0.38
